version: 4,,,,,,,,,,,,,,,,,,,,,,,,,,
題組 (格式相容欄位，題庫不支援),類別 (匯入線上測驗時不支援),"題型: 
(1)是非
(2)單選  
(3)複選  
(4)填充 
(5)問答
",題目,"答案
若為是非題: 
(1)答案為是
(2)答案為否","解說
(說明沒有解說)","難易度:
(1)容易
(2)適中
(3)困難","選項1
若為填充題: 
(1)不分英文大小寫
(2)區分英文大小寫","選項2 
若為填充題: 
(1)不考慮順序
(2)需考慮順序 ",選項3 ,選項4,選項5,選項6,選項7,選項8,選項9,選項10,選項11,選項12,選項13,選項14,選項15,選項16,選項17,選項18,選項19,選項20
,1.1 碳足跡與低碳生活課程介紹,2,根據課程介紹，「碳足跡」是指產品在何種範圍內所產生的二氧化碳總排放量？,2,碳足跡涵蓋產品從原料採集、製造、運輸、使用至廢棄處理的完整生命週期。,2,僅工廠製造階段,從原料源頭到生命週期結束的整個過程,僅消費者使用階段,產品運輸與廢棄處理階段,,,,,,,,,,,,,,,,
,1.1 碳足跡與低碳生活課程介紹,2,目前台灣在政府相關碳足跡網站上登記的產品數量大約是多少？,2,"目前政府碳足跡網站登記產品僅 1,000 出頭種，普及率仍有相當大提升空間。",2,100 多種,1000 出頭種,上萬種,上百萬種,,,,,,,,,,,,,,,,
,1.1 碳足跡與低碳生活課程介紹,2,根據授課內容，若要實踐飲食上的低碳生活，下列何種方式最具效益？,3,畜牧業碳足跡高，多吃蔬食、減少肉類消費並避免食物浪費是最直接有效的低碳飲食作法。,2,多吃牛肉等畜牧肉類,增加進口食材消費,多吃蔬食、少吃肉並減少食物浪費,每日增加用餐次數,,,,,,,,,,,,,,,,
,1.1 碳足跡與低碳生活課程介紹,2,關於政府針對個人實踐低碳生活與減碳行為的規範，下列敘述何者正確？,2,政府對個人無強制處罰條例，低碳生活需靠全民自發覺醒與長期累積。,2,設有嚴格的個人碳排放超標處罰條例,完全沒有對個人設處罰條例，需靠民眾覺醒與長期自願累積實踐,規定每位國民每天只能吃一餐以減少碳足跡,強制限制民眾假日不得出門旅遊或消費,,,,,,,,,,,,,,,,
,1.1 碳足跡與低碳生活課程介紹,2,許多企業為了達成永續經營與供應鏈要求而積極購買綠電，但在台灣目前綠電市場面臨什麼問題？,2,台積電購買了全台約 85% 的綠電，導致其他中小企業在購買綠電上面臨困境。,2,台灣綠電供給過剩且完全無人購買,全台大約 85% 的綠電已被台積電買走，導致其他企業面臨購買困難,政府嚴格禁止私營企業購買綠電,綠電價格比傳統發電便宜許多，引發全民搶購,,,,,,,,,,,,,,,,
,1.1 碳足跡與低碳生活課程介紹,2,課程中提到在推動「太陽能板」與「電動車」等綠能政策時，需要進行何種客觀反思？,3,推動綠能需考量土地正義與發電來源；若電動車充電源於高碳發電或電池未適當回收，環保效益會打折扣。,2,電動車完全不耗電，應強制全面替代燃油車,太陽能板不佔用任何土地資源，對農業無任何衝擊,發展太陽能板可能涉及土地正義與產業犧牲；電動車若使用電力來自煤炭發電或鋰電池回收不當，未必完全環保,發展綠能產業完全不需要付出任何經濟代價,,,,,,,,,,,,,,,,
,1.1 碳足跡與低碳生活課程介紹,2,企業在推動永續經營時常提到的「ESG」，其英文縮寫代表的三大面向分別為何？,2,ESG 分別代表 Environmental（環境保護）、Social（社會責任）、Governance（公司治理）。,2,環保（E）、科技（S）、基因（G）,環境保護（E）、社會責任（S）、公司治理（G）,經濟（E）、安全（S）、全球化（G）,生態（E）、系統（S）、綠能（G）,,,,,,,,,,,,,,,,
,1.1 碳足跡與低碳生活課程介紹,2,台灣政府預計在 2025 年推動的重大能源政策目標為何？,2,台灣政府預計在 2025 年達成 2025 非核家園政策目標。,2,全面核能化,2025 非核家園,零再生能源,全火力發電,,,,,,,,,,,,,,,,
,1.1 碳足跡與低碳生活課程介紹,2,課程中提到農業部（前農委會）在淨零排放與碳交易中最具有發展優勢的「碳匯」資源是指什麼？,2,農業部擁有廣大森林資源，樹木吸收 CO2 形成「碳匯」，是進行碳交易換算的重要優勢。,2,養殖場的沼氣發電量,森林與樹木生長每年能吸收並儲存的二氧化碳總量,進口有機肥料的數量,農海產品外銷所獲得的外匯收入,,,,,,,,,,,,,,,,
,1.1 碳足跡與低碳生活課程介紹,2,關於產品碳足跡盤查（Carbon Footprint Verification）難以迅速普及到市面上所有產品的原因，下列何者「不是」主因？,4,碳足跡盤查主要卡在費用高、程序複雜與產品品項過多，並不會破壞產品本身的品質或結構。,2,盤查需花費資金聘請專業機構與人員執行,市面上產品種類多達上百萬種，規模龐大,政府若缺乏強制性規範，企業自願推動意願有限,進行碳足跡計算會直接破壞產品本身的品質與結構,,,,,,,,,,,,,,,,
,1.1 碳足跡與低碳生活課程介紹,2,關於循環經濟與廢棄物再利用，課程中特別提到哪些農業或水產廢棄物可以被回收轉化再利用？,1,課程提到菱角殼（官田烏金）與牡蠣殼（海毛紗）均可回收再利用，屬於循環經濟實踐。,2,菱角殼與牡蠣殼,塑膠保麗龍與廢玻璃,水泥廢塊與磚瓦,電子廢料與舊電池,,,,,,,,,,,,,,,,
,1.1 碳足跡與低碳生活課程介紹,2,課程中討論「低碳生活」時，強調一般民眾參與減碳的核心觀念是什麼？,2,工業生產是為了滿足人類便利生活，因此民眾從日常節能減碳做起，眾人累積能產生龐大減碳效果。,2,減碳完全是工業與企業的責任，一般民眾的日常行為毫無影響,人類生活便利驅動了工業生產，因此每個人從日常省電、省資源做起，積少成多能帶來實質減碳效益,低碳生活要求所有民眾全面停止消費與經濟活動,只要購買電動車，就無需在其他生活細節上節能,,,,,,,,,,,,,,,,
,1.1 碳足跡與低碳生活課程介紹,2,課程介紹中提到，「永續農業」單元最主要的討論核心是哪一種農業模式？,2,永續農業單元主要探討如何透過有機農業達到農業與環境的永續發展。,2,慣行農法,有機農業,基因改造農業,高劑量農藥耕作,,,,,,,,,,,,,,,,
,1.1 碳足跡與低碳生活課程介紹,2,聯合國發起並推動全球永續發展的跨國架構指標，簡稱為？,1,聯合國提出的永續發展指標簡稱為 SDGs（Sustainable Development Goals）。,2,SDGs（永續發展目標）,WTO（世界貿易組織）,WHO（世界衛生組織）,APEC（亞太經合會）,,,,,,,,,,,,,,,,
